iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
COD,2016,499560,353363284
COG,2016,43659,29930744
COL,2016,108566,68852601
CRI,2016,1581,926674
CUB,2016,302,100697
CYM,2016,37,8363
DMA,2016,2,1212
DOM,2016,2867,1296830
ECU,2016,13198,9843853
ETH,2016,2874,1661565
FJI,2016,3094,1822514
GAB,2016,18886,12542807
GHA,2016,13749,5887965
GIN,2016,1543,778102
GLP,2016,0,41
GNB,2016,527,174148
GNQ,2016,5046,3240733
GTM,2016,63225,31497368
GUF,2016,3922,3064156
GUY,2016,16689,10869234
HND,2016,46024,24862987
HTI,2016,2031,1030213
IDN,2016,928660,842093389
IND,2016,30936,17321955
JAM,2016,726,470835
KEN,2016,2052,884816
KHM,2016,93616,60419939
KNA,2016,3,1460
LAO,2016,76479,46792698
LBR,2016,19754,9937990
LCA,2016,42,24850
LKA,2016,425,157346
MDG,2016,74991,41126534
MEX,2016,50145,22048147
MMR,2016,54825,34415403
MOZ,2016,924,523763
MSR,2016,3,1368
MTQ,2016,1,544
MWI,2016,23,12170
MYS,2016,185215,144520830
NGA,2016,12336,4815925
NIC,2016,47410,27597292
NPL,2016,184,95315
PAN,2016,5905,3626904
PER,2016,142720,95777436
PHL,2016,13387,8994471
PNG,2016,80232,64908484
PRI,2016,27,15137
PRY,2016,45863,18421062
RWA,2016,23,14575
SEN,2016,0,119
SGP,2016,0,216
SLB,2016,11672,9516529
SLE,2016,2963,1384961
SLV,2016,413,250066
SSD,2016,86,43063
SUR,2016,10457,8456639
SXM,2016,0,51
TCA,2016,4,784
TGO,2016,242,70515
THA,2016,4806,2877409
TTO,2016,153,89230
TWN,2016,99,58848
TZA,2016,2227,929368
UGA,2016,4314,1893573
USA,2016,285,132914
VCT,2016,6,3170
VEN,2016,84705,52755961
VGB,2016,1,661
VIR,2016,2,936
VNM,2016,68855,46526661
VUT,2016,225,123600
ZAF,2016,595,365370
ZMB,2016,2855,1365549
ZWE,2016,50,32895
AGO,2017,11180,6153129
ARG,2017,17189,6439112
AUS,2017,6,3218
BDI,2017,14,6718
BEN,2017,1,562
BGD,2017,414,242745
BHS,2017,16,2345
BLZ,2017,6591,3037074
BOL,2017,270346,135862489
BRA,2017,2134649,1296951331
BRN,2017,518,404342
BTN,2017,791,489657
CAF,2017,15443,9808909
CHN,2017,2380,1359796
CIV,2017,20418,9606019
CMR,2017,89783,55420359
COD,2017,471868,331726144
COG,2017,26703,17665565
COL,2017,161945,100724012
CRI,2017,7695,4267591
CUB,2017,28907,19652411
CYM,2017,37,8149
DMA,2017,14943,8582252
DOM,2017,1575,741489
ECU,2017,21085,15907685
ETH,2017,7631,4352067
FJI,2017,566,335793
GAB,2017,22916,15129583
GHA,2017,7689,3358288
GIN,2017,1676,875985
GLP,2017,3,1567
GNB,2017,504,167750
GNQ,2017,6468,4261219
GTM,2017,22036,11125819
GUF,2017,2739,2179887
GUY,2017,13505,9348826
HND,2017,37700,20876577
HTI,2017,379,198250
IDN,2017,373255,297801293
IND,2017,29563,16507140
JAM,2017,355,198772
KEN,2017,3134,1502707
KHM,2017,53750,34724510
LAO,2017,60711,35770537
LBR,2017,24957,12626111
LCA,2017,18,10667
LKA,2017,627,257603
MAF,2017,1,229
MDG,2017,109612,59879460
MEX,2017,55702,23902755
MMR,2017,39689,24695873
MOZ,2017,3279,1915499
MTQ,2017,5,2359
MWI,2017,29,17393
MYS,2017,162417,124189294
NGA,2017,17389,6767700
NIC,2017,150585,82513561
NPL,2017,411,255186
PAN,2017,5913,3653989
PER,2017,181090,118157210
PHL,2017,13698,9305127
PNG,2017,63581,54369956
PRI,2017,15000,9200412
PRY,2017,70056,27490179
RWA,2017,14,9427
SEN,2017,0,802
SLB,2017,14327,11661338
SLE,2017,4181,1926875
SLV,2017,129,75827
SSD,2017,235,126551
SUR,2017,13718,11292606
SXM,2017,1,294
TCA,2017,14,2655
TGO,2017,10,2951
THA,2017,3745,2253689
TTO,2017,139,82720
TWN,2017,151,95242
TZA,2017,2204,1022525
UGA,2017,4858,1994259
USA,2017,26,11186
VCT,2017,5,2904
VEN,2017,43759,24490211
VGB,2017,101,39241
VIR,2017,52,26795
VNM,2017,45012,32135367
VUT,2017,188,116360
ZAF,2017,2016,867558
ZMB,2017,3349,1587368
ZWE,2017,275,178833
ABW,2018,0,82
AGO,2018,13520,7669671
ARG,2018,9494,3452061
ATG,2018,4,1184
AUS,2018,0,185
BDI,2018,33,16229
BEN,2018,0,283
BGD,2018,359,203892
BHS,2018,14,2055
BLZ,2018,4789,2112597
BOL,2018,154489,77946134
BRA,2018,1347133,897620832
BRN,2018,450,331378
BTN,2018,406,259703
CAF,2018,7742,5089681
CHN,2018,1459,832345
CIV,2018,25669,12336751
CMR,2018,57935,38233368
COD,2018,481248,337520384
COG,2018,26847,17765632
COL,2018,176977,110679230
CRI,2018,1708,1009372
CUB,2018,2552,1731765
CYM,2018,25,5721
DMA,2018,586,344419
DOM,2018,294,130970
ECU,2018,13220,9880424
ETH,2018,3798,2195066
FJI,2018,199,112353
GAB,2018,12251,7895127
GHA,2018,12289,5295449
GIN,2018,1138,576184
GLP,2018,9,4244
GNB,2018,451,139151
GNQ,2018,4036,2609853
GTM,2018,18330,9281746
GUF,2018,2617,2097319
GUY,2018,7628,5179649
HND,2018,32645,18400675
HTI,2018,27,14295
IDN,2018,339888,269194878
IND,2018,19310,10552329
JAM,2018,293,164437
KEN,2018,2649,1172205
KHM,2018,45538,29000577
KNA,2018,1,411
LAO,2018,54581,31650801
LBR,2018,27854,14043143
LCA,2018,9,5578
LKA,2018,437,195481
MDG,2018,94785,52487749
MEX,2018,45321,20493022
MMR,2018,35913,21872839
MOZ,2018,537,284917
MSR,2018,3,1976
MTQ,2018,2,1085
MWI,2018,28,15391
MYS,2018,144571,110098416
NGA,2018,15183,5981313
NIC,2018,32009,18901657
NPL,2018,151,93105
PAN,2018,6121,3761991
PER,2018,140185,94160478
PHL,2018,9222,6249580
PLW,2018,1,1080
PNG,2018,77266,65368493
PRI,2018,512,322341
PRY,2018,25298,8814114
RWA,2018,40,26029
SEN,2018,0,78
SGP,2018,0,42
SLB,2018,13351,10900655
SLE,2018,3401,1576488
SLV,2018,80,46518
SSD,2018,79,39617
SUR,2018,15367,12747183
TCA,2018,15,2262
TGO,2018,2,594
THA,2018,1948,1179603
TTO,2018,136,80690
TWN,2018,83,45183
TZA,2018,2263,1015547
UGA,2018,4088,1526088
USA,2018,88,38987
VCT,2018,1,360
VEN,2018,30169,17402519
VGB,2018,3,1134
VIR,2018,17,7776
VNM,2018,33386,25220581
VUT,2018,239,166096
ZAF,2018,778,484746
ZMB,2018,2411,1165287
ZWE,2018,27,20020
AGO,2019,10005,5677310
ARG,2019,8965,3606908
AUS,2019,1,289
BDI,2019,14,6537
BEN,2019,3,1018
BGD,2019,388,228887
BHS,2019,6,983
BLZ,2019,8745,3963649
BOL,2019,290499,145790356
BRA,2019,1361094,904870797
BRN,2019,448,327904
BTN,2019,294,176485
CAF,2019,11530,7607371
CHN,2019,1363,769138
CIV,2019,11649,5611660
CMR,2019,54422,34564583
COD,2019,475246,338845050
COG,2019,30648,19915014
COL,2019,115090,70938167
CRI,2019,1427,834142
CUB,2019,90,33559
CYM,2019,1,1824
DMA,2019,2,1452
DOM,2019,510,223045
ECU,2019,12231,9182838
ETH,2019,7380,4409876
FJI,2019,77,45988
GAB,2019,13816,8987961
GHA,2019,5822,2565375
GIN,2019,1057,541744
GLP,2019,5,3044
GNB,2019,372,133468
GNQ,2019,4277,2788324
GTM,2019,30255,15490770
GUF,2019,2271,1833428
GUY,2019,12964,8578932
HND,2019,32911,18502518
HTI,2019,35,21833
IDN,2019,323646,258114769
IND,2019,17347,9667327
JAM,2019,254,141206
KEN,2019,2798,1251274
KHM,2019,62886,39507423
KNA,2019,2,709
LAO,2019,72038,41603624
LBR,2019,23408,11998911
LCA,2019,1,438
LKA,2019,412,160414
MDG,2019,54257,29871445
MEX,2019,65826,30277664
MMR,2019,38310,23447863
MOZ,2019,801,488077
MSR,2019,3,1302
MTQ,2019,1,769
MWI,2019,44,20814
MYS,2019,120180,93600567
NGA,2019,12095,4739481
NIC,2019,33913,20021177
NPL,2019,192,120010
PAN,2019,6234,3822972
PER,2019,161590,109724513
PHL,2019,7586,5178271
PLW,2019,4,2843
PNG,2019,57963,49560615
PRI,2019,27,14661
PRY,2019,50818,20443230
RWA,2019,14,9466
SEN,2019,1,394
SGP,2019,15,13527
SLB,2019,12324,10008040
SLE,2019,3543,1710155
SLV,2019,63,37062
SSD,2019,336,175613
SUR,2019,14013,11499105
TCA,2019,4,694
TGO,2019,0,68
THA,2019,2621,1555923
TTO,2019,126,75188
TWN,2019,58,32297
TZA,2019,2668,1318048
UGA,2019,3335,1424996
USA,2019,74,36008
VCT,2019,0,162
VEN,2019,58827,34151491
VGB,2019,1,258
VIR,2019,1,219
VNM,2019,30894,23251164
VUT,2019,52,31657
ZAF,2019,938,653211
ZMB,2019,2545,1241026
ZWE,2019,50,37203
AGO,2020,8918,4980718
ARG,2020,20834,8037308
AUS,2020,1,161
BDI,2020,27,14460
BEN,2020,2,437
BES,2020,7,2831
BGD,2020,460,268019
BHS,2020,5,770
BLZ,2020,15951,8044608
BOL,2020,276883,139415433
BRA,2020,1704092,1074057251
BRN,2020,544,396788
BTN,2020,473,293392
CAF,2020,14742,9708845
CHN,2020,1139,612463
CIV,2020,12959,6298921
CMR,2020,100295,67826303
COD,2020,490613,350574831
COG,2020,26296,17003042
COL,2020,166485,104884103
CRI,2020,1279,783406
CUB,2020,306,100163
CYM,2020,0,446
DMA,2020,10,5573
DOM,2020,1850,811347
ECU,2020,19747,15204906
ETH,2020,4603,2637036
FJI,2020,167,100331
GAB,2020,10629,6769416
GHA,2020,14272,6343409
GIN,2020,1299,676777
GLP,2020,3,1452
GNB,2020,507,183284
GNQ,2020,1977,1315467
GTM,2020,39451,19568088
GUF,2020,3136,2523474
GUY,2020,10763,7331062
HND,2020,41688,23297355
HTI,2020,16,9379
IDN,2020,270057,214295852
IND,2020,20809,11438540
JAM,2020,244,134783
KEN,2020,3545,1470843
KHM,2020,62295,39039250
KNA,2020,4,1518
LAO,2020,82239,47710691
LBR,2020,31822,16312940
LCA,2020,3,1786
LKA,2020,283,104981
MAF,2020,1,543
MDG,2020,57748,32074693
MEX,2020,68423,27936051
MMR,2020,44445,27454448
MOZ,2020,307,157498
MSR,2020,1,316
MTQ,2020,4,2128
MWI,2020,146,66029
MYS,2020,72977,57251486
NGA,2020,14587,5918074
NIC,2020,52626,30490829
NPL,2020,170,96174
PAN,2020,6593,4008681
PER,2020,190199,128729460
PHL,2020,7751,5255433
PLW,2020,4,3047
PNG,2020,44865,37732963
PRI,2020,27,15723
PRY,2020,58572,26290298
RWA,2020,113,65107
SEN,2020,1,549
SGP,2020,19,18095
SLB,2020,10458,8609976
SLE,2020,2957,1422438
SLV,2020,90,52405
SSD,2020,86,47874
SUR,2020,11076,9164565
TCA,2020,10,2050
TGO,2020,1,315
THA,2020,3573,2125285
TTO,2020,145,80710
TWN,2020,49,23161
TZA,2020,3466,1684883
UGA,2020,3585,1698795
USA,2020,40,16086
VEN,2020,53702,31033473
VIR,2020,0,42
VNM,2020,32620,23789060
VUT,2020,1675,1089518
ZAF,2020,880,562668
ZMB,2020,2143,1060634
ZWE,2020,38,26875
AGO,2021,24339,14415034
ARG,2021,11905,4509516
AUS,2021,4,2287
BDI,2021,14,7010
BEN,2021,2,511
BGD,2021,309,181287
BHS,2021,4,1274
BLZ,2021,4558,2051920
BOL,2021,291380,148205401
BRA,2021,1548658,1034785796
BRN,2021,517,371335
BTN,2021,400,238099
CAF,2021,19709,12873480
CHN,2021,1213,643868
CIV,2021,6615,3203767
CMR,2021,88756,57395444
COD,2021,499059,355095592
COG,2021,19571,12989943
COL,2021,128563,81247360
CRI,2021,1059,632968
CUB,2021,350,144632
CYM,2021,2,1256
DMA,2021,7,4048
DOM,2021,593,270315
ECU,2021,12472,9635809
ETH,2021,4349,2569396
FJI,2021,1069,543296
GAB,2021,8858,5810814
GHA,2021,10700,4699143
GIN,2021,798,396517
GLP,2021,2,1260
GNB,2021,349,134817
GNQ,2021,3715,2447211
GTM,2021,15160,7879438
GUF,2021,1679,1338296
GUY,2021,7088,5019409
HND,2021,36601,20562828
HTI,2021,131,72637
IDN,2021,202905,158416433
IND,2021,22038,12300194
JAM,2021,178,100552
KEN,2021,445,161128
KHM,2021,63982,40101427
KNA,2021,3,1372
LAO,2021,80939,46657907
LBR,2021,24821,12868086
LCA,2021,6,4088
LKA,2021,281,112227
MAF,2021,1,278
MDG,2021,43745,24117790
MEX,2021,35129,15231982
MMR,2021,44566,27495161
MOZ,2021,277,146449
MSR,2021,0,87
MTQ,2021,3,1469
MWI,2021,52,28000
MYS,2021,72234,55984099
NGA,2021,12139,4701252
NIC,2021,54031,31686082
NPL,2021,249,139122
PAN,2021,5308,3214341
PER,2021,154279,105107336
PHL,2021,6829,4687638
PLW,2021,1,921
PNG,2021,43338,36700232
PRI,2021,17,9784
PRY,2021,44749,17919820
RWA,2021,42,26694
SEN,2021,0,60
SGP,2021,1,1167
SLB,2021,8506,6985368
SLE,2021,3272,1617660
SLV,2021,33,19501
SSD,2021,75,37904
SUR,2021,10113,8409667
TCA,2021,13,2695
TGO,2021,12,3639
THA,2021,2921,1759271
TTO,2021,50,33341
TWN,2021,66,35881
TZA,2021,1926,956657
UGA,2021,3751,868215
USA,2021,4,1839
VCT,2021,4,2101
VEN,2021,22709,12847189
VGB,2021,1,561
VNM,2021,29007,20885336
VUT,2021,14,7641
ZAF,2021,633,421060
ZMB,2021,2900,1418397
ZWE,2021,42,35345
AGO,2022,15589,9116662
ARG,2022,21382,8066436
BDI,2022,5,2295
BEN,2022,1,295
BGD,2022,308,177107
BHS,2022,2,279
BLZ,2022,4029,1793609
BOL,2022,385568,199882423
BRA,2022,1772690,1219536765
BRN,2022,538,373948
BTN,2022,513,300047
CAF,2022,13242,8744070
CHN,2022,1533,857663
CIV,2022,8588,4177161
CMR,2022,76312,50813954
COD,2022,512672,369854122
COG,2022,26089,16951933
COL,2022,128455,82122530
CRI,2022,1158,705752
CUB,2022,272,209279
CYM,2022,2,680
DMA,2022,6,3747
DOM,2022,508,235750
ECU,2022,21014,15975042
ETH,2022,4005,2329850
FJI,2022,143,84862
GAB,2022,14511,9522209
GHA,2022,17970,7888301
GIN,2022,944,484249
GLP,2022,3,1492
GNB,2022,380,148853
GNQ,2022,3901,2580435
GTM,2022,12218,6016178
GUF,2022,2828,2258103
GUY,2022,7884,5592875
HND,2022,30126,16914839
HTI,2022,15,7781
IDN,2022,230003,177278030
IND,2022,21839,12343342
JAM,2022,129,72156
KEN,2022,867,332190
KHM,2022,45376,28294594
KNA,2022,0,42
LAO,2022,93089,53957631
LBR,2022,30365,15944606
LCA,2022,4,2839
LKA,2022,239,89697
MDG,2022,46546,25750905
MEX,2022,38391,19995687
MMR,2022,37798,23542609
MOZ,2022,517,271445
MTQ,2022,2,1036
MWI,2022,93,55245
MYS,2022,71927,55411675
NGA,2022,12859,5264380
NIC,2022,22636,13664309
NPL,2022,310,182304
PAN,2022,4018,2444726
PER,2022,160991,109479952
PHL,2022,27288,18526367
PLW,2022,1,510
PNG,2022,74970,63605174
PRI,2022,19,10216
PRY,2022,32588,12476357
RWA,2022,15,9835
SEN,2022,0,67
SGP,2022,9,6059
SLB,2022,10137,8215681
SLE,2022,3204,1661481
SLV,2022,47,28184
SSD,2022,107,56765
SUR,2022,12042,10143520
TCA,2022,3,583
TGO,2022,13,3771
THA,2022,3295,2040229
TTO,2022,77,46413
TWN,2022,87,50376
TZA,2022,1756,867686
UGA,2022,3409,963074
USA,2022,9,3651
VCT,2022,21,10856
VEN,2022,19811,11365465
VGB,2022,2,631
VIR,2022,0,203
VNM,2022,21668,16194984
VUT,2022,15,8388
ZAF,2022,300,199288
ZMB,2022,2415,1186635
ZWE,2022,56,45022
AGO,2023,17669,0
ARG,2023,11443,0
AUS,2023,1,0
BDI,2023,8,0
BEN,2023,3,0
BGD,2023,743,0
BHS,2023,34,0
BLZ,2023,11663,0
BOL,2023,490544,0
BRA,2023,1136874,0
BRN,2023,497,0
BTN,2023,658,0
CAF,2023,13986,0
CHN,2023,1885,0
CIV,2023,6865,0
CMR,2023,102887,0
COD,2023,526132,0
COG,2023,24425,0
COL,2023,66083,0
CRI,2023,1371,0
CUB,2023,692,0
CYM,2023,8,0
DMA,2023,4,0
DOM,2023,1276,0
ECU,2023,14294,0
ETH,2023,12460,0
FJI,2023,86,0
GAB,2023,10310,0
GHA,2023,12746,0
GIN,2023,648,0
GLP,2023,4,0
GMB,2023,0,0
GNB,2023,289,0
GNQ,2023,4006,0
GTM,2023,21037,0
GUF,2023,3231,0
GUY,2023,17168,0
HND,2023,43765,0
HTI,2023,56,0
IDN,2023,292374,0
IND,2023,21672,0
JAM,2023,283,0
KEN,2023,1809,0
KHM,2023,48249,0
KNA,2023,0,0
LAO,2023,136533,0
LBR,2023,32717,0
LCA,2023,1,0
LKA,2023,229,0
MDG,2023,79808,0
MDV,2023,1,0
MEX,2023,49017,0
MMR,2023,48330,0
MOZ,2023,405,0
MTQ,2023,4,0
MWI,2023,509,0
MYS,2023,79275,0
NGA,2023,12000,0
NIC,2023,60019,0
NPL,2023,215,0
PAN,2023,4967,0
PER,2023,150398,0
PHL,2023,5042,0
PLW,2023,1,0
PNG,2023,47744,0
PRI,2023,38,0
PRY,2023,25121,0
RWA,2023,28,0
SEN,2023,2,0
SLB,2023,6918,0
SLE,2023,3365,0
SLV,2023,32,0
SSD,2023,94,0
SUR,2023,17994,0
TCA,2023,5,0
TGO,2023,3,0
THA,2023,4114,0
TTO,2023,107,0
TWN,2023,245,0
TZA,2023,3219,0
UGA,2023,2101,0
USA,2023,52,0
VEN,2023,27505,0
VGB,2023,2,0
VNM,2023,16457,0
VUT,2023,76,0
ZAF,2023,200,0
ZMB,2023,2670,0
ZWE,2023,40,0
